paper_id,avg_period,pollutant,pollutant_raw,setting,unit,summary_type,value,variability_type,variability_value,unit_norm,summary_type_norm,who_band
Honda_2022_28-5,Annual average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,10.32,SD,3.15,μg/m³,mean,Moderate (10.1–35 — meets IT-3/IT-2/IT-1)
Tian_2024_6498,Annual average,PM10,PM10,Outdoor,μg/m³,Mean,16.76,SD,2.76,μg/m³,mean,Low (≤20 — meets AQG/IT-4)
Abramson_2020_0549,Annual average,NO2,NO2,Outdoor,μg/m³,Mean,27.2,SD,6.88,μg/m³,mean,Moderate (20.1–40 — meets IT-2/IT-1)
Darras-Hostens_2024_2006,Annual average,NO2,NO2,Outdoor,μg/m³,Mean,19.96,NA,NA,μg/m³,mean,Low (≤20 — meets AQG/IT-3)
Yang_2019_0318,Annual average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,82,SD,14.8,μg/m³,mean,High (>35 — exceeds all interim targets)
Lee_2019_6009,Annual average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,9.3,SD,1.9,μg/m³,mean,Low (≤10 — meets AQG/IT-4)
Cho_2023_e159,Annual average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,26,SD,0.7,μg/m³,mean,Moderate (10.1–35 — meets IT-3/IT-2/IT-1)
Aretz_2021_1533,Annual average,Black Carbon,Black carbon,Outdoor,μg/m³,Mean,1.22,SD,0.22,μg/m³,mean,No WHO annual guideline available
Xu_2021_17205,Annual average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,42.79,SD,16,μg/m³,mean,High (>35 — exceeds all interim targets)
Hu_2023_4382,Annual average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,48.2,IQR,31.9,μg/m³,mean,High (>35 — exceeds all interim targets)
Fong_2023_0010,Annual average,PM2.5,PM2.5,Not specified,μg/m³,Mean,8.15,NA,NA,μg/m³,mean,Low (≤10 — meets AQG/IT-4)
Kalia_2023_0122,Annual average,PM10,PM10,Outdoor,μg/m³,Mean,21,SD,7.73,μg/m³,mean,Moderate (20.1–70 — meets IT-3/IT-2/IT-1)
Pekince_2021_5133,Annual average,SO2,SO2,Not specified,μg/m³,Mean,340,NA,NA,μg/m³,mean,No WHO annual guideline available
Gamgaram_2021_1547,Annual average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,10.83,SD,2.08,μg/m³,mean,Moderate (10.1–35 — meets IT-3/IT-2/IT-1)
Alemany_2021_6864,Annual average,PM2.5,PM2.5,Not specified,μg/m³,Mean,17.3,SD,2.2,μg/m³,mean,Moderate (10.1–35 — meets IT-3/IT-2/IT-1)
Li_2019_2153,Annual average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,88.71,SD,44.27,μg/m³,mean,High (>35 — exceeds all interim targets)
Kim_2022_1585,Annual average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,25.2,SD,2.69,μg/m³,mean,Moderate (10.1–35 — meets IT-3/IT-2/IT-1)
Tian_2024_6498,Annual average,NO2,NO2,Outdoor,μg/m³,Mean,20.78,SD,6.58,μg/m³,mean,Moderate (20.1–40 — meets IT-2/IT-1)
Darras-Hostens_2024_2006,Annual average,PM10,PM10,Outdoor,μg/m³,Mean,27.02,NA,NA,μg/m³,mean,Moderate (20.1–70 — meets IT-3/IT-2/IT-1)
Havet_2019_5320,Annual average,PM10,PM10,Outdoor,μg/m³,Mean,25,SD,4.07,μg/m³,mean,Moderate (20.1–70 — meets IT-3/IT-2/IT-1)
Zhao_2020_5472,Annual average,PM2.5,PM2.5,Not specified,μg/m³,Mean,11.7,SD,2.9,μg/m³,mean,Moderate (10.1–35 — meets IT-3/IT-2/IT-1)
Yang_2019_0318,Annual average,PM10,PM 10,Outdoor,μg/m³,Mean,123.1,SD,14.6,μg/m³,mean,High (>70 — exceeds all interim targets)
Xu_2021_17205,Annual average,PM10,PM10,Outdoor,μg/m³,Mean,73.36,SD,23.88,μg/m³,mean,High (>70 — exceeds all interim targets)
Hu_2023_4382,Annual average,PM10,PM10,Outdoor,μg/m³,Mean,93.5,IQR,46.4,μg/m³,mean,High (>70 — exceeds all interim targets)
Jen Bai_2021_0085,Annual average,PM2.5,PM2.5,Not specified,μg/m³,Mean,26.28,SD,NA,μg/m³,mean,Moderate (10.1–35 — meets IT-3/IT-2/IT-1)
Kogevinas_2021_9726,Annual average,Black Carbon,BC,Not specified,μg/m³,Mean,1.82,SD,0.39,μg/m³,mean,No WHO annual guideline available
