paper_id,avg_period,pollutant,pollutant_raw,setting,unit,summary_type,value,variability_type,variability_value,unit_norm,summary_type_norm,value_ugm3,who_band
Zhang_2019_8687,Daily average,PM10,PM10 (during games),Outdoor,μg/m³,Mean,62.6,SD,14.4,μg/m³,mean,62.6,Moderate (50.1–150 — meets IT-3/IT-2/IT-1)
Zhao_2024_3435,Daily average,NO2,NO2,Outdoor,μg/m³,Mean,44.6,SD,16.2,μg/m³,mean,44.6,Moderate (25.1–120 — meets IT-1)
Zhang_2024_1897,Daily average,PM2.5,PM2.5,Not specified,μg/m³,Mean,4.2,SD,5.8,μg/m³,mean,4.2,Low (≤25 — meets AQG/IT-4)
Zu_2024_0104,Daily average,PM1,PM1 (Third trimester),Outdoor,μg/m³,Mean,31.41,SD,7.39,μg/m³,mean,31.41,No WHO 24-hr guideline available
Wu_2021_5619,Daily average,Sodium (Na+),Na⁺,Outdoor,μg/m³,Mean,0.08,SD,0.05,μg/m³,mean,0.08,No WHO 24-hr guideline available
Hautekiet_2021_6332,Daily average,PM2.5,"PM2.5 (chronic, year)",Outdoor,μg/m³,Mean,14.6,IQR,NA,μg/m³,mean,14.6,Low (≤25 — meets AQG/IT-4)
Chen_2021_6329,Daily average,PM2.5,"PM2.5 (ambient, fixed‑site)",Outdoor,μg/m³,Mean,40.1,SD,NA,μg/m³,mean,40.1,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Zhao_2024_3435,Daily average,NO2,NO2,Outdoor,μg/m³,Mean,30.6,SD,9.28,μg/m³,mean,30.6,Moderate (25.1–120 — meets IT-1)
Zhang_2024_1897,Daily average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,6.1,SD,2.1,μg/m³,mean,6.1,Low (≤25 — meets AQG/IT-4)
Zu_2024_0104,Daily average,PM2.5,PM2.5 (Third trimester),Outdoor,μg/m³,Mean,55.68,SD,15,μg/m³,mean,55.68,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Wu_2021_5619,Daily average,Potassium (K+),K⁺,Outdoor,μg/m³,Mean,0.14,SD,0.12,μg/m³,mean,0.14,No WHO 24-hr guideline available
Hautekiet_2021_6332,Daily average,Black Carbon,"BC (chronic, year)",Outdoor,μg/m³,Mean,1.5,IQR,NA,μg/m³,mean,1.5,No WHO 24-hr guideline available
Chen_2021_6329,Daily average,PM10,"PM10 (ambient, fixed‑site)",Outdoor,μg/m³,Mean,57.3,SD,NA,μg/m³,mean,57.3,Moderate (50.1–150 — meets IT-3/IT-2/IT-1)
Zu_2024_0104,Daily average,PM10,PM10 (Third trimester),Outdoor,μg/m³,Mean,88.47,SD,15.52,μg/m³,mean,88.47,Moderate (50.1–150 — meets IT-3/IT-2/IT-1)
Wu_2021_5619,Daily average,Calcium (Ca2+),Ca²⁺,Outdoor,μg/m³,Mean,0.22,SD,0.15,μg/m³,mean,0.22,No WHO 24-hr guideline available
Hautekiet_2021_6332,Daily average,NO2,"NO₂ (chronic, year)",Outdoor,μg/m³,Mean,20.7,IQR,NA,μg/m³,mean,20.7,Low (≤25 — meets AQG)
Chen_2021_6329,Daily average,SO2,"SO₂ (ambient, fixed‑site)",Outdoor,μg/m³,Mean,11.2,SD,NA,μg/m³,mean,11.2,Low (≤40 — meets AQG)
Wu_2021_5619,Daily average,Chloride (Cl-),Cl⁻,Outdoor,μg/m³,Mean,0.59,SD,0.34,μg/m³,mean,0.59,No WHO 24-hr guideline available
Chen_2021_6329,Daily average,NO2,"NO₂ (ambient, fixed‑site)",Outdoor,μg/m³,Mean,46.9,SD,NA,μg/m³,mean,46.9,Moderate (25.1–120 — meets IT-1)
Zhao_2024_3435,Daily average,SO2,SO2,Outdoor,μg/m³,Mean,10.9,SD,5.92,μg/m³,mean,10.9,Low (≤40 — meets AQG)
Wu_2021_5619,Daily average,Magnesium (Mg2+),Mg²⁺,Outdoor,μg/m³,Mean,0.02,SD,0.02,μg/m³,mean,0.02,No WHO 24-hr guideline available
Chen_2021_6329,Daily average,O3,"O₃ (ambient, fixed‑site)",Outdoor,μg/m³,Mean,68.6,SD,NA,μg/m³,mean,68.6,No WHO 24-hr guideline available
Zhao_2024_3435,Daily average,SO2,SO2,Outdoor,μg/m³,Mean,5.39,SD,1.1,μg/m³,mean,5.39,Low (≤40 — meets AQG)
Wu_2021_5619,Daily average,Barium (Ba),Ba,Outdoor,μg/m³,Mean,29,SD,14,μg/m³,mean,29,No WHO 24-hr guideline available
Wu_2021_5619,Daily average,Chromium (Cr),Cr,Outdoor,μg/m³,Mean,7,SD,4,μg/m³,mean,7,No WHO 24-hr guideline available
Wu_2021_5619,Daily average,Iron (Fe),Fe,Outdoor,μg/m³,Mean,499,SD,232,μg/m³,mean,499,No WHO 24-hr guideline available
Wu_2021_5619,Daily average,Zinc (Zn),Zn,Outdoor,μg/m³,Mean,128,SD,76,μg/m³,mean,128,No WHO 24-hr guideline available
Zhao_2024_3435,Daily average,CO,CO,Outdoor,mg/m³,Mean,0.94,SD,0.34,mg/m³,mean,940,Low (≤4000 — meets AQG)
Zhao_2024_3435,Daily average,CO,CO,Outdoor,mg/m³,Mean,0.66,SD,0.02,mg/m³,mean,660,Low (≤4000 — meets AQG)
Chen_2021_6329,Daily average,CO,"CO (ambient, fixed‑site)",Outdoor,mg/m³,Mean,0.9,SD,NA,mg/m³,mean,900,Low (≤4000 — meets AQG)
