paper_id,avg_period,pollutant,pollutant_raw,setting,unit,summary_type,value,variability_type,variability_value,unit_norm,summary_type_norm,value_ugm3,who_band
Duan_2023_9685,Daily average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,62,SD,48.1,μg/m³,mean,62,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Lee_2020_205-x,Daily average,PM2.5,PM2.5,Not specified,μg/m³,Mean,20.4,SD,51.9,μg/m³,mean,20.4,Low (≤25 — meets AQG/IT-4)
La Marca_2020_a214,Daily average,PM10,PM10,Outdoor,μg/m³,Mean,27.2,SD,4.3,μg/m³,mean,27.2,Low (≤50 — meets AQG/IT-4)
Zhou_2019_.039,Daily average,PM10,PM10 (entire pregnancy),Outdoor,μg/m³,Mean,106.74,SD,5.49,μg/m³,mean,106.74,Moderate (50.1–150 — meets IT-3/IT-2/IT-1)
Zhang_2019_8687,Daily average,NO2,NO2 (before games),Outdoor,μg/m³,Mean,48.3,SD,30.5,μg/m³,mean,48.3,Moderate (25.1–120 — meets IT-1)
Wyatt_2022_1891,Daily average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,9.15,SD,4.9,μg/m³,mean,9.15,Low (≤25 — meets AQG/IT-4)
Rzymski_2022_9469,Daily average,PM10,PM10 (24hr),Outdoor,μg/m³,Mean,25.7,SD,11,μg/m³,mean,25.7,Low (≤50 — meets AQG/IT-4)
Zhao_2024_3435,Daily average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,39.7,SD,2.12,μg/m³,mean,39.7,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Zhang_2024_1897,Daily average,Black Carbon,BC,Not specified,μg/m³,Mean,0.36,SD,0.2,μg/m³,mean,0.36,No WHO 24-hr guideline available
Li_2024_2688,Daily average,SO2,SO2,Outdoor,μg/m³,Mean,121.6,SD,18.1,μg/m³,mean,121.6,Moderate (40.1–125 — meets IT-1)
Peng_2023_5803,Daily average,O3,O₃,Outdoor,μg/m³,Mean,48.2,SD,40,μg/m³,mean,48.2,No WHO 24-hr guideline available
Zu_2024_0104,Daily average,PM2.5,PM2.5 (First trimester),Outdoor,μg/m³,Mean,59.72,SD,17.6,μg/m³,mean,59.72,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Hwang_2020_6239,Daily average,PM10,PM 10,Not specified,μg/m³,Mean,42.1,SD,3.6,μg/m³,mean,42.1,Low (≤50 — meets AQG/IT-4)
Vrijens_2020_5156,Daily average,Black Carbon,Black carbon,Outdoor,μg/m³,Mean,1.29,SD,0.31,μg/m³,mean,1.29,No WHO 24-hr guideline available
Li_2023_7518,Daily average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,38.7,SD,12.4,μg/m³,mean,38.7,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Raqib_2023_8137,Daily average,PM2.5,PM2.5 (post-intervention),Not specified,μg/m³,Mean,85.6,SD,57.3,μg/m³,mean,85.6,High (>75 — exceeds all interim targets)
Chi_2019_2521,Daily average,PM2.5,"PM2.5,is",Indoor,μg/m³,Mean,31.6,IQR,27.4,μg/m³,mean,31.6,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Ye_2020_4816,Daily average,PM10,PM10,Outdoor,μg/m³,Mean,80.6,SD,41,μg/m³,mean,80.6,Moderate (50.1–150 — meets IT-3/IT-2/IT-1)
Yao_2022_9822,Daily average,PM2.5,PM2.5,Not specified,μg/m³,Mean,74.7,SD,46,μg/m³,mean,74.7,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Yu_2023_9906,Daily average,PM2.5,"PM2.5,high exposure group",Outdoor,μg/m³,Mean,106,SD,15.29,μg/m³,mean,106,High (>75 — exceeds all interim targets)
Kogevinas_2023_1989,Daily average,Black Carbon,Black Carbon,Outdoor,μg/m³,Mean,1.8,SD,0.4,μg/m³,mean,1.8,No WHO 24-hr guideline available
Wei_2023_4322,Daily average,PM2.5,PM2.5 lag0–7,Outdoor,μg/m³,Mean,34.73,SD 20.93,NA,μg/m³,mean,34.73,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Poniedziałek_2023_8962,Daily average,PM2.5,PM 2.5,Outdoor,μg/m³,Mean,17.6,SD,7.5,μg/m³,mean,17.6,Low (≤25 — meets AQG/IT-4)
Wu_2021_5619,Daily average,Organic Carbon,Organic carbon,Outdoor,μg/m³,Mean,6.4,SD,1.91,μg/m³,mean,6.4,No WHO 24-hr guideline available
Areal_2023_6827,Daily average,NO2,NO2,Outdoor,μg/m³,Mean,13.17,SD,8.39,μg/m³,mean,13.17,Low (≤25 — meets AQG)
Huang_2021_4400,Daily average,PM10,PM 10,Outdoor,μg/m³,Mean,50.3,SD,26.3,μg/m³,mean,50.3,Moderate (50.1–150 — meets IT-3/IT-2/IT-1)
Zhang_2021_1191,Daily average,PM2.5,PM 2.5 ( indoor heating season),Indoor,μg/m³,Mean,91.94,NA,NA,μg/m³,mean,91.94,High (>75 — exceeds all interim targets)
Wang_2022_c438,Daily average,PM2.5,PM2.5,Not specified,μg/m³,Mean,40.74,SD,14.04,μg/m³,mean,40.74,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
Zheng_2023_1909,Daily average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,10.44,SD,2.3,μg/m³,mean,10.44,Low (≤25 — meets AQG/IT-4)
Zhang_2021_1637,Daily average,PM2.5,PM2.5,Outdoor,μg/m³,Mean,70.71,SD,56.77,μg/m³,mean,70.71,Moderate (25.1–75 — meets IT-3/IT-2/IT-1)
